business_name,legal_entity_name,physical_address,county,phone,email,license_number,expiration
Backwood Express #2 Inc,Backwood Express #2 Inc,"454 HIGHWAY 90 STE K WAVELAND, MS 39576",23-HANCOCK,2282404931,fareaqaid1@gmail.com,DSPY024923,2027-05-29
Lighthouse Gulfport LLC,"Meskwaki Nation, Sac & Fox Tribe of the Mississippi in Iowa, Hinds Holdings, LLC, EBC Investment Holdings, LLC","9113 HIGHWAY 49 GULFPORT, MS 39503",24-HARRISON,6019181851,william.chism@riverremedyms.com,DSPY004524,2026-07-26
Dabbs 1 LLC,,"1170 OLD FANNIN RD BRANDON, MS 39047",61-RANKIN,6015942285,blanebritton@gmail.com,DSPY013261,2026-10-21
Simpson Legion LLC,,"715 GARFIELD ST TUPELO, MS 38801",41-LEE,9014129440,blanebritton@gmail.com,DSPY001441,2026-07-25
420 Holiday #3 LLC,,"9354 HIGHWAY 49 APT 8 GULFPORT, MS 39503",24-HARRISON,2283285116,samfarea4@gmail.com,DSPY024824,2027-05-29
Simpson Legion LLC,,"1038 OLD JACKSON RD CANTON, MS 39046",45-MADISON,6015942285,blanebritton@gmail.com,DSPY025045,2027-05-29
Merit Creek,Merit Creek LLC,"2505 HIGHWAY 15 N LAUREL, MS 39440",34-JONES,6015942285,mcwallhousing@gmail.com,DSPY002941,2026-07-26
Merit Creek,,"22 STONEWALL RD BYHALIA, MS 38611",47-MARSHALL,6015942285,mcwallhousing@gmail.com,DSPY007423,2026-08-01
Hernando Dispensary LLC,"Meskwaki Nation, Sac & Fox Tribe of the Mississippi in Iowa, Hinds Holdings, LLC, EBC Investment Holdings, LLC","3016 HIGHWAY 51 S HERNANDO, MS 38632",17-DESOTO,6019181851,herbal.alchemy.dispensary@gmail.com,DSPY015017,2026-12-01
Interstellar Meridian,"Grey Horse Properties, LLC., Southern Lights, LLC., Offset CC LLC, BeBe Holdings, LLC.","2172 A ST MERIDIAN, MS 39301",38-LAUDERDALE,6013010878,betty@ignitems.com,DSPY002738,2026-07-26
BILOXI CANNABIS DISPENSARY,,"282 EISENHOWER DR BILOXI, MS 39531",24-HARRISON,3132694030,niceguylaf@yahoo.com,DSPY025124,2026-08-12
River City Cannabis,,"4043 JEFFERSON AVE MOSS POINT, MS 39563",30-JACKSON,2282822260,info@rivercitycannabis.net,DSPY025230,2026-08-12
"Rootdown 3, LLC",Rootdown LLC,"821 N LAMAR BLVD STE 311 OXFORD, MS 38655",36-LAFAYETTE,6016226897,compliance@rootdownms.com,DSPY025436,2026-09-09
Coast Cannabis Bay St Louis LLC,,"833 US-90 Bay St Louis, MS 39520",23-HANCOCK,9857186907,ginampepe@aol.com,DSPY001123,2026-07-22
The Forest Cannabis Dispensary,,"1910 HIGHWAY 35 S FOREST, MS 39074",62-SCOTT,5743778945,forestdispensaries@yahoo.com,DSPY025362,2026-08-19
Apollo Medical Dispensary LLC,,"2662 HIGHWAY 51 S HERNANDO, MS 38632",17-DESOTO,9014919391,apollomd2023@gmail.com,DSPY025617,2026-12-16
"MS MUDD 1, LLC","MS MUDD, LLC","6518 GOODMAN RD STE 106 STE 311 OLIVE BRANCH, MS 38654",17-DESOTO,8127080277,compliance@rootdownms.com,DSPY008217,2026-08-02
Blessed Holdings LLC,"Lucente, Curative Cannabis Dispensary, Pepe LLC","1072 HIGH ST JACKSON, MS 39202",25-HINDS,9857186907,bblessedholdingsms@gmail.com,DSPY010525,2026-09-01
DABBS 1 LLC,,"1217 S FRONTAGE RD MERIDIAN, MS 39301",38-LAUDERDALE,6015942285,blanebritton@gmail.com,DSPY023138,2027-07-01
Biosciences of MS LLC,,"101 RICKY D BRITT SR BLVD OXFORD, MS 38655",36-LAFAYETTE,9018289275,michael@noblelabsms.com,DSPY025736,2026-12-16
"MS Moss, LLC","MS Moss Holdings, LLC","6083 U S HIGHWAY 98 STE 311 HATTIESBURG, MS 39402",37-LAMAR,6016226897,compliance@rootdownms.com,DSPY007137,2026-08-01
"MS Moss, LLC","MS Moss Holdings, LLC","310 S 16TH AVE STE 311 LAUREL, MS 39440",34-JONES,6016226897,compliance@rootdownms.com,DSPY009534,2026-08-05
"MS Moss, LLC","MS Moss Holdings, LLC","3836 N GLOSTER ST STE 311 TUPELO, MS 38804",41-LEE,6016226897,compliance@rootdownms.com,DSPY004141,2026-07-25
"MS Moss, LLC","MS Moss Holdings, LLC","2389 PASS RD STE 311 BILOXI, MS 39531",24-HARRISON,6016226897,compliance@rootdownms.com,DSPY009124,2026-08-03
"MS Moss, LLC","MS Moss Holdings, LLC","2609 HIGHWAY 72 W STE 311 CORINTH, MS 38834",02-ALCORN,6016226897,compliance@rootdownms.com,DSPY003902,2026-07-26
"Rootdown 2, LLC","Rootdown, LLC","1329 SUNSET DR STE 311 GRENADA, MS 38901",22-GRENADA,6016226897,compliance@rootdownms.com,DSPY013522,2026-10-21
Hare Dispensary LLC,Hare Dispensary LLC,"7314 U S HIGHWAY 49 HATTIESBURG, MS 39402",18-FORREST,2564048193,ehare9@hotmail.com,DSPY025518,2026-11-21
Five Star-2 LLC,,"515 CRAFT ST HOLLY SPRINGS, MS 38635",47-MARSHALL,9012080957,fivestarhollysprings@gmail.com,DSPY025947,2027-01-21
DABBS 2 LLC,,"1041 HOLLY SPRINGS RD UNIT 2 HERNANDO, MS 38632",17-DESOTO,6015942285,blanebritton@gmail.com,DSPY025817,2027-01-14
"Rootdown 3, LLC","Rootdown, LLC","605 S JACKSON ST STE 311 STARKVILLE, MS 39759",53-OKTIBBEHA,6016226897,compliance@rootdownms.com,DSPY006853,2026-08-01
DABBS 1 LLC,,"6616 WASHINGTON AVE OCEAN SPRINGS, MS 39564",30-JACKSON,6015942285,blanebritton@gmail.com,DSPY001975,2026-07-25
"420 Holiday #4, LLC",,"6401 U S HIGHWAY 49 HATTIESBURG, MS 39401",18-FORREST,2282404931,fareaqaid1@gmail.com,DSPY010318,2026-08-23
"420 Holiday #6, LLC",,"1608 BIENVILLE BLVD OCEAN SPRINGS, MS 39564",30-JACKSON,2282404931,fareaqaid1@gmail.com,DSPY019130,2026-08-10
DABBS 1,,"28059 HIGHWAY 28 HAZLEHURST, MS 39083",15-COPIAH,6015942285,mcwallhousing@gmail.com,DSPY020315,2026-12-22
Bees Buds LLC,,"20467 Highway 49 Saucier, MS 39574",24-HARRISON,8505549411,b.beesbuds@gmail.com,DSPY026124,2027-04-16
Kaldem Holdings LLC,,"12242 SHRINERS BLVD BILOXI, MS 39532",24-HARRISON,2286972037,kalle@kaldemholdings.com,DSPY026024,2027-04-16
Danzoo Med Inc,,"55 Highway 51 S, Hernando, MS 38632",17-DESOTO,9292787792,danzoomedinc@gmail.com,DSPY026317,2027-06-09
OddFellow Pearl,,"3021 US-80 EAST Pearl, MS 39208",61-RANKIN,6018326352,duaisholding@gmail.com,DSPY026461,2027-06-17
DABBS 2,,"1708 Simpson Highway 49 Magee, MS 39111",64-SIMPSON,6015942285,mcwallhousing@gmail.com,DSPY000244,2026-07-22
"MF Group, Inc.",,"5891 U S Highway 49 Hattiesburg, MS 39402",18-FORREST,6016083117,mmajrad96@gmail.com,DSPY026218,2027-05-08
